"day_of_week","collision_type","crash_month","weather","vehicle_count","time_of_day","maj_inj_count","max_severity_level","dec_lat","dec_long"
3,1,1,1,2,1939,0,4,40.59000015,-79.99710083
6,7,1,1,1,1630,0,3,40.45769882,-80.05149841
4,6,1,1,2,1400,0,8,40.36259842,-79.86789703
7,6,2,1,3,29,0,4,40.45859909,-79.90799713
7,2,2,1,2,123,0,4,40.43220139,-80.00389862
6,4,1,1,2,1238,0,8,40.32590103,-79.98629761
5,8,1,1,1,1645,0,4,40.417099,-80.020401
6,2,1,1,2,1815,0,4,40.40499878,-79.99060059
5,7,1,8,1,550,0,4,40.582901,-79.78050232
7,4,2,1,2,1818,0,4,40.43730164,-79.77079773
3,7,1,4,1,558,0,4,40.5461998,-80.21900177
7,7,2,1,1,2021,0,1,40.6385994,-79.89849854
1,7,2,1,1,158,0,4,40.46569824,-79.86540222
3,1,1,4,2,510,0,3,40.39910126,-80.10520172
1,7,2,2,1,617,0,4,40.46450043,-79.72129822
1,4,2,2,2,1010,0,4,40.41410065,-80.0094986
6,2,1,1,2,1724,0,8,40.3125,-79.91010284
7,1,2,1,3,1510,0,8,40.40000153,-80.05989838
7,4,2,1,2,1905,0,4,40.4292984,-79.99919891
7,4,2,1,3,2035,0,4,40.39300156,-79.99729919
1,9,2,4,3,2023,0,8,40.37099838,-79.85479736
2,4,2,1,2,8,0,4,40.45489883,-80.00959778
2,4,2,4,2,311,0,4,40.44200134,-80.0318985
3,1,1,1,2,1102,0,4,40.42770004,-79.94989777
4,8,1,4,2,1915,0,4,40.42910004,-80.02899933
3,7,1,1,1,1840,0,4,40.43709946,-80.21309662
6,5,1,1,2,1248,0,8,40.4382019,-79.83049774
2,4,2,4,2,735,0,4,40.45100021,-79.92610168
2,7,2,4,1,815,0,8,40.44919968,-80.02380371
2,6,2,4,2,904,0,4,40.48970032,-79.79519653
4,7,1,1,1,822,0,4,40.41939926,-79.77570343
1,4,2,1,2,1213,0,8,40.32590103,-79.83940125
2,8,2,4,1,1019,0,4,40.42869949,-79.98049927
2,1,2,4,2,1153,0,4,40.35089874,-79.86489868
2,8,2,4,1,1113,0,3,40.46160126,-79.9489975
2,4,2,1,2,1555,0,8,40.46900177,-79.96269989
7,7,1,4,1,1221,0,8,40.43050003,-80.2641983
2,1,2,1,2,1805,0,8,40.41690063,-80.01439667
2,4,1,4,2,942,0,1,40.45930099,-80.19000244
6,7,1,1,2,1347,0,4,40.41059875,-80.07119751
1,7,1,1,1,1731,0,8,40.46780014,-80.2405014
6,7,1,4,1,2308,0,4,40.63830185,-79.72360229
2,7,2,1,1,1839,0,4,40.27590179,-79.90679932
2,7,2,4,1,640,0,8,40.40840149,-80.01779938
2,1,2,4,2,723,0,4,40.46469879,-79.82440186
3,7,1,1,1,1840,0,8,40.52140045,-80.13079834
6,1,1,1,4,1813,0,8,40.60589981,-80.09410095
2,6,2,4,2,940,0,4,40.44749832,-79.70980072
1,2,2,4,2,2224,0,3,40.45299911,-79.79499817
3,4,2,1,2,1639,0,4,40.45059967,-79.93009949
4,6,1,1,2,1311,0,8,40.53889847,-80.25550079
3,1,2,1,2,1845,0,3,40.59339905,-80.10050201
6,7,1,4,1,1850,0,8,40.56010056,-79.96990204
3,2,2,1,2,1845,0,4,40.44169998,-80.23919678
3,1,2,1,2,1440,0,4,40.49079895,-79.78420258
3,4,2,1,3,1855,0,4,40.45149994,-79.90809631
3,2,2,1,2,1552,0,8,40.48289871,-79.80970001
4,1,1,1,2,710,0,8,40.58890152,-80.09899902
3,7,1,4,1,748,0,4,40.42950058,-79.87550354
4,1,1,1,2,923,0,4,40.42570114,-79.9108963
4,1,1,1,3,1041,0,8,40.42570114,-79.9108963
4,7,2,4,2,706,0,8,40.51750183,-79.85269928
3,7,2,1,1,851,0,8,40.38729858,-79.82810211
2,7,2,1,1,708,0,8,40.65140152,-79.82790375
4,1,2,4,3,845,0,8,40.46300125,-80.01380157
4,7,2,4,1,1000,0,4,40.43799973,-79.9131012
3,4,2,1,2,1146,0,3,40.43230057,-79.86509705
4,2,2,4,2,1645,0,4,40.46179962,-80.07589722
4,7,1,1,1,1330,0,4,40.43610001,-80.09020233
6,4,1,1,2,1559,0,8,40.44480133,-80.14980316
4,4,2,4,2,1816,0,8,40.46630096,-79.90820313
7,8,2,1,1,1822,0,8,40.41260147,-79.9878006
4,5,1,1,2,1623,0,4,40.43759918,-79.77010345
4,4,2,1,8,1822,0,8,40.24919891,-79.87729645
4,4,2,3,2,755,0,8,40.43389893,-79.83679962
